Number of Doors,Vehicle Size
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
2,Compact
2,Compact
2,Compact
4,Compact
4,Compact
4,Compact
4,Compact
4,Compact
4,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Compact
4,Compact
4,Compact
4,Compact
4,Compact
4,Compact
4,Compact
4,Compact
4,Compact
4,Compact
4,Compact
4,Compact
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Large
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Midsize
4,Large
2,Compact
2,Midsize
4,Midsize
4,Midsize
4,Large
2,Compact
4,Midsize
4,Midsize
2,Midsize
4,Midsize
4,Large
4,Midsize
4,Midsize
4,Midsize
2,Midsize
4,Midsize
2,Compact
4,Midsize
4,Large
4,Midsize
4,Midsize
4,Large
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
2,Compact
4,Large
4,Large
4,Large
4,Large
4,Large
4,Large
4,Large
4,Large
4,Large
4,Large
4,Large
4,Large
4,Large
4,Large
4,Large
4,Large
4,Large
4,Large
4,Large
4,Large
